AcquirerID,MerchantID,StartAmount,EndAmount,FeeAmount,FeePercent,Currency
AMK,879,0,0,500,,KHR
AMK,333,0,0,400,,KHR
AMK,296,0,0,500,,KHR
AMK,395,0,0,500,,KHR
AMK,291,0,0,800,,KHR
AMK,079,0,0,500,,KHR
AMK,080,0,0,500,,KHR
AMK,081,0,0,500,,KHR
AMK,108,0,0,500,,KHR
AMK,190,0,0,500,,KHR
AMK,289,0,0,500,,KHR
AMK,324,0,0,600,,KHR
AMK,337,0,0,500,,KHR
AMK,379,0,0,600,,KHR
AMK,389,0,0,700,,KHR
AMK,009,0,0,,,
AMK,043,0,0,500,,KHR
AMK,069,0,0,500,,KHR
AMK,089,0,0,,,
AMK,091,0,0,,,
AMK,182,0,0,,,
AMK,201,0,0,500,,KHR
AMK,041,0,0,500,,KHR
AMK,095,0,0,800,,KHR
AMK,119,0,0,,,
AMK,415,0,0,400,,KHR
AMK,421,0,0,500,,KHR
AMK,609,0,0,500,,KHR
AMK,891,0,0,800,,KHR
AMK,416,0,0,500,,KHR
AMK,052,0,0,500,,KHR
AMK,331,0,0,500,,KHR
AMK,332,0,0,800,,KHR
AMK,124,0,0,800,,KHR
AMK,865,0,0,500,,KHR
AMK,383,0,0,800,,KHR
AMK,012,0,0,,,
AMK,063,0,0,400,,KHR
AMK,199,0,0,500,,KHR
AMK,326,0,0,800,,KHR
AMK,328,0,0,500,,KHR
AMK,354,0,0,800,,KHR
AMK,425,0,0,500,,KHR
AMK,311,0,0,500,,KHR
AMK,128,0,0,500,,KHR
AMK,162,0,0,500,,KHR
AMK,172,0,0,800,,KHR
AMK,035,0,0,500,,KHR
AMK,164,0,0,500,,KHR
AMK,890,0,0,500,,KHR
AMK,264,0,0,800,,KHR
AMK,015,0,0,800,,KHR
AMK,067,0,0,500,,KHR
AMK,020,0,0,800,,KHR
AMK,113,0,0,500,,KHR
AMK,195,0,0,1000,,KHR
AMK,212,0,0,800,,KHR
AMK,238,0,0,800,,KHR
AMK,265,0,0,600,,KHR
AMK,894,0,0,800,,KHR
AMK,013,0,0,500,,KHR
AMK,055,0,0,800,,KHR
AMK,178,0,0,800,,KHR
AMK,197,0,0,600,,KHR
AMK,874,0,0,800,,KHR
AMK,884,0,0,500,,KHR
AMK,896,0,0,500,,KHR
AMK,899,0,0,800,,KHR
AMK,133,0,0,800,,KHR
AMK,188,0,0,800,,KHR
AMK,118,0,0,500,,KHR
AMK,058,0,0,500,,KHR
AMK,179,0,0,800,,KHR
AMK,219,0,0,800,,KHR
AMK,249,0,0,800,,KHR
AMK,887,0,0,800,,KHR
AMK,266,0,0,500,,KHR
AMK,871,0,0,400,,KHR
AMK,873,0,0,400,,KHR
AMK,023,0,0,800,,KHR
AMK,038,0,0,500,,KHR
AMK,060,0,0,800,,KHR
AMK,074,0,0,500,,KHR
AMK,075,0,0,500,,KHR
AMK,122,0,0,400,,KHR
AMK,256,0,0,300,,KHR
AMK,286,0,0,500,,KHR
AMK,292,0,0,600,,KHR
AMK,357,0,0,400,,KHR
AMK,369,0,0,800,,KHR
AMK,370,0,0,500,,KHR
AMK,376,0,0,500,,KHR
AMK,057,0,0,400,,KHR
AMK,006,0,0,500,,KHR
AMK,019,0,0,300,,KHR
AMK,039,0,0,500,,KHR
AMK,073,0,0,500,,KHR
AMK,277,0,0,,,
AMK,902,0,0,500,,KHR
AMK,308,0,0,800,,KHR
AMK,026,0,0,400,,KHR
AMK,130,0,0,500,,KHR
AMK,159,0,0,800,,KHR
AMK,216,0,0,500,,KHR
AMK,288,0,0,500,,KHR
AMK,047,0,0,400,,KHR
AMK,298,0,0,500,,KHR
AMK,297,0,0,500,,KHR
AMK,363,0,0,500,,KHR
AMK,105,0,0,500,,KHR
AMK,033,0,0,500,,KHR
AMK,072,0,0,500,,KHR
AMK,034,0,0,,,
AMK,102,0,0,500,,KHR
AMK,163,0,0,800,,KHR
AMK,388,0,0,600,,KHR
AMK,409,0,0,600,,KHR
AMK,368,0,0,800,,KHR
AMK,240,0,0,500,,KHR
AMK,185,0,0,500,,KHR
AMK,229,0,0,500,,KHR
AMK,031,0,0,500,,KHR
AMK,410,0,0,200,,KHR
AMK,327,0,0,500,,KHR
AMK,139,0,0,500,,KHR
AMK,287,0,0,500,,KHR
AMK,391,0,0,800,,KHR
AMK,083,0,0,500,,KHR
AMK,082,0,0,800,,KHR
AMK,136,0,0,800,,KHR
AMK,154,0,0,500,,KHR
AMK,155,0,0,800,,KHR
AMK,237,0,0,800,,KHR
AMK,616,0,0,600,,KHR
AMK,904,0,0,500,,KHR
AMK,184,0,0,500,,KHR
AMK,101,0,0,800,,KHR
AMK,306,0,0,800,,KHR
AMK,866,0,0,800,,KHR
AMK,206,0,0,,,
AMK,239,0,0,500,,KHR
AMK,343,0,0,,,
AMK,037,0,0,300,,KHR
AMK,062,0,0,500,,KHR
AMK,076,0,0,,,
AMK,090,0,0,800,,KHR
AMK,099,0,0,800,,KHR
AMK,103,0,0,800,,KHR
AMK,143,0,0,800,,KHR
AMK,165,0,0,400,,KHR
AMK,186,0,0,400,,KHR
AMK,234,0,0,400,,KHR
AMK,278,0,0,500,,KHR
AMK,299,0,0,500,,KHR
AMK,018,0,0,400,,KHR
AMK,046,0,0,,,
AMK,208,0,0,500,,KHR
AMK,259,0,0,,,
AMK,295,0,0,500,,KHR
AMK,336,0,0,500,,KHR
AMK,419,0,0,500,,KHR
AMK,247,0,0,,,
AMK,268,0,0,,,
AMK,886,0,0,800,,KHR
AMK,176,0,0,500,,KHR
AMK,382,0,0,800,,KHR
AMK,359,0,0,500,,KHR
AMK,294,0,0,500,,KHR
AMK,109,0,0,800,,KHR
AMK,302,0,0,500,,KHR
AMK,282,0,0,500,,KHR
AMK,284,0,0,500,,KHR
AMK,207,0,0,500,,KHR
AMK,127,0,0,500,,KHR
AMK,030,0,0,500,,KHR
AMK,870,0,0,500,,KHR
AMK,255,0,0,500,,KHR
AMK,856,0,0,800,,KHR
AMK,068,0,0,500,,KHR
AMK,852,0,0,500,,KHR
AMK,898,0,0,500,,KHR
AMK,850,0,0,500,,KHR
AMK,340,0,0,500,,KHR
AMK,789,0,0,500,,KHR
AMK,867,0,0,500,,KHR
AMK,403,0,0,,,
AMK,261,0,0,500,,KHR
AMK,857,0,0,800,,KHR
AMK,171,0,0,500,,KHR
AMK,796,0,0,800,,KHR
AMK,194,0,0,500,,KHR
AMK,049,0,0,500,,KHR
AMK,088 649 4277,0,0,500,,KHR
AMK,144,0,0,500,,KHR
AMK,246,0,0,500,,KHR
AMK,270,0,0,500,,KHR
AMK,279,0,0,500,,KHR
AMK,319,0,0,500,,KHR
AMK,099 99 55 11,0,0,500,,KHR
AMK,092 980 963,0,0,500,,KHR
AMK,838,0,0,500,,KHR
AMK,071,0,0,500,,KHR
AMK,367,0,0,800,,KHR
AMK,864,0,0,500,,KHR
AMK,125,0,0,500,,KHR
AMK,061,0,0,500,,KHR
AMK, 790,0,0,500,,KHR
AMK,129,0,0,500,,KHR
AMK,183,0,0,500,,KHR
AMK,203,0,0,500,,KHR
AMK,012985621,0,0,500,,KHR
AMK,017534678,0,0,500,,KHR
AMK,089211186,0,0,500,,KHR
AMK,773,0,0,500,,KHR
AMK,096 888 00 95,0,0,500,,KHR
AMK,092626270,0,0,500,,KHR
AMK, 406L,0,0,500,,KHR
AMK,267,0,0,800,,KHR
AMK,021,0,0,800,,KHR
AMK,335,0,0,500,,KHR
AMK,040L,0,0,500,,KHR
AMK,554,0,0,,,
AMK,846,0,0,800,,KHR
AMK,763,0,0,500,,KHR
AMK,758,0,0,500,,KHR
AMK,806,0,0,500,,KHR
AMK,808,0,0,500,,KHR
AMK,752,0,0,500,,KHR
AMK,872,0,0,800,,KHR
AMK,751,0,0,800,,KHR
AMK,881,0,0,800,,KHR
AMK,356,0,0,500,,KHR
AMK,478,0,0,,,
AMK,759,0,0,500,,KHR
AMK,444L,0,0,500,,KHR
AMK,792,0,0,500,,KHR
AMK,241,0,0,500,,KHR
AMK,772,0,0,800,,KHR
AMK,748,0,0,500,,KHR
AMK,180,0,0,500,,KHR
